"","PROBEID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"8169504","8169504","SLC6A14","solute carrier family 6 (amino acid transporter), member 14",4.65871804750358,6.51151707849404,19.5236884684099,6.36885802626692e-11,1.07671913792069e-06,13.3037766710538
"8021584","8021584","SERPINB5","serpin peptidase inhibitor, clade B (ovalbumin), member 5",2.33941747815557,5.03674480129781,13.2236408854765,7.53755771929804e-09,6.37149754012263e-05,10.0362987935009
"8080964","8080964","GXYLT2","glucoside xylosyltransferase 2",-1.26550182838098,5.32384037578225,-12.3406948593402,1.72227298932347e-08,9.70558238583422e-05,9.38786055819918
"8073015","8073015","KDELR3","KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3",0.948829814069901,6.90362201796529,11.0085362100678,6.62682747894632e-08,0.000280082863397666,8.28592723137226
"8102800","8102800","SLC7A11","solute carrier family 7 (anionic amino acid transporter light chain, xc- system), member 11",1.68561660284369,5.73376037791393,9.36569114490376,4.25202091918844e-07,0.00121841538759628,6.68600839829541
"7954527","7954527","ARNTL2","aryl hydrocarbon receptor nuclear translocator-like 2",1.25113037667807,5.64266137113315,9.35175072617954,4.32419988499803e-07,0.00121841538759628,6.67114454895273
"7982377","7982377","GREM1","gremlin 1, DAN family BMP antagonist",1.97063486220798,7.59971391983748,9.16203567182846,5.44786091722564e-07,0.00131573623809452,6.46654216132917
"8096602","8096602","DAPP1","dual adaptor of phosphotyrosine and 3-phosphoinositides",1.19592484321358,5.39583682530103,8.86834124221012,7.84621082424939e-07,0.0016581005024345,6.14110346842696
"8008321","8008321","ACSF2","acyl-CoA synthetase family member 2",-1.25247305704919,6.90325254933304,-8.15660126665217,1.97342865470598e-06,0.00334102171838717,5.30650496464422
"8154779","8154779","SPINK4","serine peptidase inhibitor, Kazal type 4",2.21700311506455,8.49493687121124,8.15553756613844,1.97623430639251e-06,0.00334102171838717,5.30520711804314
"8060988","8060988","BTBD3","BTB (POZ) domain containing 3",-0.780464213142408,7.82598668235609,-7.90996911138322,2.75300437416249e-06,0.00364880130164182,5.00140578009824
"7936734","7936734","FGFR2","fibroblast growth factor receptor 2",-1.1385167032084,6.85333527829215,-7.87994155598123,2.86828160628213e-06,0.00364880130164182,4.96368140204968
"8076515","8076515","ARFGAP3","ADP-ribosylation factor GTPase activating protein 3",0.797954016040803,7.45294117329364,7.83169216072467,3.06439561001421e-06,0.00364880130164182,4.90279859304805
"8008172","8008172","B4GALNT2","beta-1,4-N-acetyl-galactosaminyl transferase 2",-1.51862036350473,7.22404705237751,-7.70971705525531,3.62657634276235e-06,0.00364880130164182,4.74741475763581
"8099476","8099476","PROM1","prominin 1",-1.07403154229745,8.70954299331851,-7.69955983846195,3.67810000330289e-06,0.00364880130164182,4.73437984091628
"8102482","8102482","SEC24D","SEC24 homolog D, COPII coat complex component",0.630898027124452,7.37325732291942,7.63247785781887,4.03852923354424e-06,0.00364880130164182,4.64792082154179
"8180257","8180257","CEP170","centrosomal protein 170kDa",0.690352429909615,5.92982207452847,7.6299136075372,4.05303080344751e-06,0.00364880130164182,4.64460302972982
"8168163","8168163","GDPD2","glycerophosphodiester phosphodiesterase domain containing 2",-0.749612352589533,5.49709027114342,-7.59784388445859,4.23914132098296e-06,0.00364880130164182,4.60302903895081
"8102594","8102594","TNIP3","TNFAIP3 interacting protein 3",2.25940718968248,4.92773371631202,7.58520742535859,4.31494966364358e-06,0.00364880130164182,4.58660679429597
"7949971","7949971","CPT1A","carnitine palmitoyltransferase 1A (liver)",-0.778024189530887,8.8596063804567,-7.55542104386749,4.49940017176072e-06,0.00364880130164182,4.54780514872115
